date,machine,cutting_force,coolant_temperature,torque,hydraulic_pressure,spindle_speed,coolant_pressure,machine_failure
2025-01-01,Line_A,42.1,68.2,37.4,71.5,3198,47.9,0
2025-01-01,Line_B,55.3,73.1,45.2,80.2,3510,55.1,1
2025-01-02,Line_C,35.8,62.7,31.6,65.4,2880,43.2,0
2025-01-02,Line_A,48.4,69.5,41.3,75.1,3302,50.6,0
2025-01-03,Line_B,61.2,78.4,52.7,87.5,3650,61.3,1
2025-01-03,Line_C,39.5,65.1,34.8,69.2,3015,45.7,0
2025-01-04,Line_A,52.7,71.8,46.9,82.4,3401,53.8,1
2025-01-04,Line_B,44.2,67.3,39.1,73.8,3155,48.6,0
2025-01-05,Line_C,58.1,75.6,49.4,84.7,3578,57.2,1
2025-01-05,Line_A,33.7,61.9,28.5,62.8,2750,40.9,0
